distance,reference
2.69,-7.747302955873603
2.7,-7.746079707360985
2.71,-7.744858832071656
2.72,-7.743640414743104
2.73,-7.7424245389171595
2.74,-7.741211286948713
2.75,-7.74000074001332
2.76,-7.7387929781129845
2.77,-7.7375880800847705
2.78,-7.736386123600791
2.79,-7.735187185175195
2.8,-7.733991340166295
2.81,-7.732798662778899
2.82,-7.731609226065847
2.83,-7.730423101929038
2.84,-7.729240361119797
2.85,-7.728061073238921
2.86,-7.726885306736012
2.87,-7.725713128908717
2.88,-7.724544605901428
2.89,-7.72337980270419
2.9,-7.722218783149365
2.91,-7.72106160991204
2.92,-7.719908344506416
2.93,-7.718759047284054
2.94,-7.717613777431637
2.95,-7.71647259296875
2.96,-7.715335550745689
2.97,-7.7142027064413625
2.98,-7.713074114561241
2.99,-7.711949828435483
3.0,-7.710829900217228
3.01,-7.709714380881043
3.02,-7.708603320221688
3.03,-7.707496766853045
3.04,-7.706394768207369
3.05,-7.705297370534779
3.06,-7.704204618903205
3.07,-7.703116557198509
3.08,-7.702033228125021
3.09,-7.700954673206525
3.1,-7.699880932787512
3.11,-7.698812046034891
3.12,-7.697748050940057
3.13,-7.696688984321458
3.14,-7.695634881827477
3.15,-7.6945857779398015
3.16,-7.693541705977231
3.17,-7.692502698099854
3.18,-7.691468785313719
3.19,-7.690439997475913
3.2,-7.689416363300042
3.21,-7.6883979103622275
3.22,-7.687384665107393
3.23,-7.686376652856095
3.24,-7.685373897811691
3.25,-7.68437642306796
3.26,-7.683384250617063
3.27,-7.68239740135799
3.28,-7.681415895105269
3.29,-7.68043975059816
3.3,-7.679468985510132
3.31,-7.678503616458713
3.32,-7.677543659015717
3.33,-7.676589127717716
3.34,-7.675640036076918
3.35,-7.67469639659231
3.36,-7.673758220761015
3.37,-7.672825519090113
3.38,-7.6718983011084765
3.39,-7.670976575379086
3.4,-7.670060349511424
3.41,-7.669149630174152
3.42,-7.668244423108019
3.43,-7.667344733138897
3.44,-7.666450564191026
3.45,-7.665561919300455
3.46,-7.664678800628585
3.47,-7.663801209475928
3.48,-7.662929146295845
3.49,-7.662062610708541
3.5,-7.6612016015151205
3.51,-7.660346116711677
3.52,-7.659496153503493
3.53,-7.65865170831933
3.54,-7.657812776825708
3.55,-7.656979353941211
3.56,-7.656151433850952
3.57,-7.65532901002087
3.58,-7.654512075212153
3.59,-7.653700621495558
3.6,-7.65289464026586
3.61,-7.652094122256095
3.62,-7.651299057551895
3.63,-7.650509435605688
3.64,-7.649725245250887
3.65,-7.648946474715974
3.66,-7.648173111638522
3.67,-7.647405143079093
3.68,-7.6466425555349735
3.69,-7.645885334953869
3.7,-7.6451334668130935
3.71,-7.644386935901775
3.72,-7.643645726648016
3.73,-7.642909822940663
3.74,-7.642179208186832
3.75,-7.641453865325056
3.76,-7.640733776838219
3.77,-7.640018924766421
3.78,-7.639309290720626
3.79,-7.638604855891854
3.8,-7.637905601068118
3.81,-7.637211506643947
3.82,-7.6365225526329725
3.83,-7.635838718680132
3.84,-7.635159984073182
3.85,-7.634486327754329
3.86,-7.633817728331784
3.87,-7.633154164091254
3.88,-7.632495613007212
3.89,-7.631842052421769
3.9,-7.63119346071603
3.91,-7.630549813299412
3.92,-7.629911089454115
3.93,-7.62927726362461
3.94,-7.628648312856371
3.95,-7.628024213239974
3.96,-7.627404940637344
3.97,-7.626790470691282
3.98,-7.6261807788349625
3.99,-7.62557584030115
4.0,-7.624975630131328
4.01,-7.624380123184479
4.02,-7.623789294145764
4.03,-7.623203117532696
4.04,-7.622621567216689
4.05,-7.62204461807717
4.06,-7.621472245073131
4.07,-7.620904420480155
4.08,-7.620341118621092
4.09,-7.619782313305905
4.1,-7.619227978125908
4.11,-7.618678086570136
4.12,-7.618132612032465
4.13,-7.617591527818638
4.14,-7.617054807153027
4.15,-7.616522423185394
4.16,-7.6159943489980195
4.17,-7.6154705576101955
4.18,-7.614951021986732
4.19,-7.614435715042918
4.2,-7.613924609648451
4.21,-7.613417678644277
4.22,-7.612914894087725
4.23,-7.612416230973296
4.24,-7.611921659840061
