accuracies,ucc_energy_1,ucc_energy_2,ucc_energy_3,ucc_energy_4,ucc_energy_5,ucc_energy_6,ucc_energy_7,ucc_energy_8,ucc_energy_9,ucc_energy_10
182.701385515322,-2.8499678745640784,-2.8499644793246035,-2.8491455649016832,-2.849502270708221,-2.8495825475439016,-2.849074961777243,-2.848310583910631,-2.8498411953058445,-2.850579005030013,-2.8486836650252965
209.5373093930827,-2.8511849108192675,-2.8508150884569314,-2.8499518461193625,-2.850818211914025,-2.850794347127464,-2.850373946900844,-2.8503829323242447,-2.852125106276793,-2.8515430776917987,-2.850493612427352
240.3150031065879,-2.852287282483437,-2.8520279699101136,-2.8527960126412384,-2.8520580046016577,-2.852737228474468,-2.85187482085998,-2.8522323743583224,-2.852537470324358,-2.8514775170032065,-2.8525179902402273
275.61344986911337,-2.853599733967148,-2.854468539846453,-2.854060963534589,-2.8540130575713527,-2.8530937964212506,-2.853011288777089,-2.853844275179418,-2.8542221601621725,-2.853418430159196,-2.8543914106024046
316.0966763072308,-2.8547627520515686,-2.8549832617996973,-2.85403090089782,-2.8540578001223005,-2.8550787963593973,-2.854745030523736,-2.8544269339673263,-2.8541705813636087,-2.854803470901966,-2.8540043038682494
362.5262439838411,-2.8559198368646643,-2.855850952258022,-2.856247975735628,-2.856207907205488,-2.85524259432082,-2.855663792651516,-2.855292594647597,-2.855982840371172,-2.8563098817270345,-2.8552053634346115
415.775575727004,-2.8567658673634573,-2.8560596512944496,-2.856777862609488,-2.856429259504051,-2.856110802541816,-2.85682930001078,-2.85593298359842,-2.856227970581109,-2.8559856723145205,-2.856693267399199
476.84638626831935,-2.856784668009745,-2.857312456462749,-2.857672998835986,-2.8575095448659007,-2.857572971066737,-2.8570068347906745,-2.856790417987628,-2.857056140482283,-2.8576735901130896,-2.857669456981113
546.8875262804122,-2.8574359442502155,-2.8577828524656854,-2.85774019832859,-2.8576540812085347,-2.857542917494421,-2.858025773231935,-2.8575020564318168,-2.857604078275358,-2.85751586427677,-2.8581272823727804
627.2165943034199,-2.8584970904101104,-2.858264033445072,-2.858176523035292,-2.85851579131542,-2.858522863391316,-2.8581016064306186,-2.858694963779264,-2.858189078004777,-2.8585509507724645,-2.8580678789408727
719.3447231192978,-2.858707881730872,-2.8588450887111967,-2.85900727607306,-2.858999947506025,-2.8588408105674694,-2.8588026493187173,-2.8588434041177115,-2.8585299729993814,-2.858958985697229,-2.8590074403644645
825.0050068497658,-2.8591841629695325,-2.859051055584305,-2.859359420480543,-2.859004438323985,-2.8591357582567,-2.859520968253636,-2.8594013829735427,-2.8592101356152635,-2.8590035223702235,-2.859470952818862
1024.0,-2.8596950923017186,-2.8596333044812794,-2.8597907001395866,-2.8598984270417764,-2.8600257696643223,-2.859638413144496,-2.8596821813124365,-2.8595833926260483,-2.8600375056183163,-2.859641433659427
