Unnamed: 0,accuracies,ucc_energy_1,ucc_length,ucc_energy_2,ucc_energy_3,ucc_energy_4,ucc_energy_5,ucc_energy_6,ucc_energy_7,ucc_energy_8,ucc_energy_9,ucc_energy_10,ucc_energy_11,ucc_energy_12,ucc_energy_13,ucc_energy_14,ucc_energy_15,ucc_energy_16,ucc_energy_17,ucc_energy_18,ucc_energy_19,ucc_energy_20,ucc_energy_21,ucc_energy_22,ucc_energy_23,ucc_energy_24,ucc_energy_25,ucc_energy_26,ucc_energy_27,ucc_energy_28,ucc_energy_29,ucc_energy_30,ucc_energy_31,ucc_energy_32,ucc_energy_33,ucc_energy_34,ucc_energy_35,ucc_energy_36,ucc_energy_37,ucc_energy_38,ucc_energy_39,ucc_energy_40,ucc_energy_41,ucc_energy_42,ucc_energy_43,ucc_energy_44,ucc_energy_45,ucc_energy_46,ucc_energy_47,ucc_energy_48,ucc_energy_49
10,53.21893039,-1.098377194,0.77338037,-1.09801599,-1.104226235,-1.103427746,-1.102046116,-1.098117005,-1.101054451,-1.09804203,-1.100597221,-1.104307785,-1.103786493,-1.100658372,-1.102595415,-1.102104898,-1.101771387,-1.098660137,-1.098906194,-1.098164712,-1.098620987,-1.100767604,-1.101759612,-1.09899558,-1.10431652,-1.101590327,-1.1017,-1.1039,-1.1006,-1.102,-1.1028,-1.1039,-1.0978,-1.1009,-1.1042,-1.1033,-1.098,-1.0987,-1.1002,-1.1033,-1.115703583,-1.113671569,-1.122194634,-1.115215853,-1.120601317,-1.127420208,-1.121962937,-1.119395333,-1.123515494,-1.118643208,-1.1040907035829277
11,61.03594371,-1.10313719,0.768720492,-1.105143489,-1.107991081,-1.105721424,-1.102821944,-1.102823948,-1.103247355,-1.102618442,-1.103339015,-1.106950721,-1.103010695,-1.108393026,-1.106419234,-1.108237399,-1.108208784,-1.108029018,-1.103164943,-1.107273749,-1.105188873,-1.102836631,-1.106229726,-1.106036928,-1.106944521,-1.103942009,-1.1028,-1.1057,-1.1061,-1.1062,-1.1036,-1.1083,-1.1074,-1.1062,-1.1064,-1.1056,-1.1058,-1.1061,-1.1053,-1.103,-1.121031334,-1.124492348,-1.126711943,-1.11757448,-1.120858641,-1.115601433,-1.115374672,-1.119785036,-1.124485594,-1.111009243,-1.1081756185435228
12,70.0011518,-1.107339696,0.764691281,-1.110235333,-1.10760354,-1.109014886,-1.107404088,-1.111743385,-1.109541254,-1.111976532,-1.107083619,-1.109125486,-1.107594972,-1.111213579,-1.110262289,-1.111980012,-1.11027064,-1.10809856,-1.107132343,-1.110495762,-1.107159115,-1.110782472,-1.111595101,-1.107438852,-1.107376974,-1.110251595,-1.1101,-1.1102,-1.1091,-1.1094,-1.1105,-1.1074,-1.1069,-1.1108,-1.1082,-1.1114,-1.1096,-1.1115,-1.1074,-1.1073,-1.122688051,-1.125605597,-1.128398335,-1.124386208,-1.120448441,-1.125528967,-1.125272095,-1.124486772,-1.12403181,-1.121041352,-1.1117872403657387
13,80.28320618,-1.111050796,0.760495443,-1.111040021,-1.111366717,-1.111370344,-1.112224444,-1.113015559,-1.112849437,-1.112294057,-1.114737861,-1.112759609,-1.113269072,-1.113619023,-1.113551916,-1.113377359,-1.112928032,-1.112339915,-1.111013078,-1.114187242,-1.112745197,-1.115123195,-1.111473877,-1.11504399,-1.112924645,-1.111715723,-1.1136,-1.1114,-1.1111,-1.1126,-1.1132,-1.1108,-1.1125,-1.112,-1.1141,-1.1122,-1.1151,-1.111,-1.111,-1.1147,-1.125666222,-1.127222031,-1.121138121,-1.124803653,-1.123907678,-1.130907197,-1.126268232,-1.129440872,-1.120900859,-1.124919225,-1.1149620943533802
14,92.07553059,-1.114311758,0.757360248,-1.114457519,-1.115029362,-1.116312894,-1.116302191,-1.114242606,-1.114211152,-1.114780064,-1.114724334,-1.116985355,-1.114342713,-1.114367206,-1.115424705,-1.116720245,-1.116126824,-1.114126841,-1.11496165,-1.115918849,-1.115526492,-1.114841116,-1.115073363,-1.115576919,-1.114107597,-1.116355207,-1.1163,-1.1159,-1.1157,-1.1154,-1.1146,-1.1151,-1.1165,-1.1161,-1.1142,-1.1177,-1.1162,-1.1178,-1.1147,-1.1159,-1.12594991,-1.124726543,-1.126467273,-1.127978731,-1.125762761,-1.127296542,-1.125287223,-1.127092308,-1.127876446,-1.124024179,-1.1177515623386656
15,105.5999597,-1.117178871,0.754661891,-1.11832861,-1.118831572,-1.11728707,-1.118072688,-1.117455013,-1.117283393,-1.118324139,-1.117806956,-1.116879904,-1.116934373,-1.117715324,-1.118538821,-1.119137257,-1.11701457,-1.118166118,-1.116896799,-1.116888973,-1.118300317,-1.1188336,-1.117917841,-1.117849092,-1.119766094,-1.117622116,-1.1183,-1.1173,-1.1203,-1.1191,-1.1189,-1.1179,-1.1191,-1.117,-1.1199,-1.1196,-1.1191,-1.1203,-1.117,-1.1186,-1.128614188,-1.127577819,-1.112375119,-1.125481312,-1.125842999,-1.12579167,-1.128977376,-0.919464086,-1.129758259,-1.124673776,-1.1201982853394632
16,121.110912,-1.119697041,0.752334844,-1.121728977,-1.121440193,-1.122340516,-1.11954939,-1.119553062,-1.120416796,-1.119688745,-1.120780922,-1.12119003,-1.119436988,-1.11954683,-1.120653472,-1.122086237,-1.119489485,-1.120819033,-1.12068315,-1.120963655,-1.120694511,-1.122278416,-1.12168452,-1.120004015,-1.121274956,-1.120013491,-1.1196,-1.12,-1.1219,-1.1203,-1.1203,-1.1205,-1.1202,-1.1214,-1.1219,-1.1223,-1.1209,-1.1195,-1.1209,-1.1222,-1.128216894,-1.130274578,-1.129604993,-1.129395591,-1.129783773,-1.131041076,-0.919862104,-1.126157983,-1.128195732,-1.128940397,-1.1223462180935546
17,138.9001762,-1.121906456,0.75026961,-1.123820874,-1.124186,-1.122461121,-1.123516768,-1.123303855,-1.12230373,-1.12177565,-1.123922204,-1.124298702,-1.121939199,-1.122623452,-1.124103101,-1.122755555,-1.123424224,-1.122220562,-1.121908842,-1.123891757,-1.123070085,-1.123528745,-1.122195514,-1.122560049,-1.124196921,-1.122907333,-1.1242,-1.1238,-1.1218,-1.122,-1.1229,-1.1218,-1.1237,-1.1231,-1.1239,-1.1218,-1.1241,-1.1221,-1.122,-1.1241,-1.132315212,-1.13098113,-1.130243372,-1.13104942,-1.130387567,-1.130756956,-1.129771237,-1.130184115,-0.921441101,-0.920482316,-1.1242299842906973
18,159.3024,-1.123843759,0.749058485,-1.124319138,-1.123650235,-1.124407755,-1.123726546,-1.125923989,-1.125018782,-1.124876488,-1.124079923,-1.124233938,-1.123860345,-1.12362928,-1.12589784,-1.124419882,-1.124553131,-1.123809947,-1.124925763,-1.125086776,-1.123945001,-1.125061163,-1.12405885,-1.125175212,-1.123650522,-1.124122151,-1.1252,-1.1238,-1.1239,-1.1241,-1.1244,-1.1255,-1.124,-1.1237,-1.1259,-1.1238,-1.1248,-1.1259,-1.1237,-1.1251,-1.132292845,-1.130442183,-1.130608385,-1.131247663,-0.923093137,-1.132163726,-1.129138128,-1.130738412,-1.130572098,-1.124181028,-1.1258790713157212
19,182.7013855,-1.125541463,0.747125893,-1.126692396,-1.125487797,-1.12592758,-1.1269306,-1.125963508,-1.126306916,-1.126677757,-1.12699681,-1.125509508,-1.126384276,-1.126367108,-1.12607091,-1.125843556,-1.127376187,-1.125394152,-1.125706729,-1.126121314,-1.125965951,-1.127282601,-1.126091942,-1.125504425,-1.126920057,-1.126378125,-1.1268,-1.1269,-1.1256,-1.126,-1.1253,-1.1262,-1.1258,-1.1256,-1.1271,-1.1272,-1.1255,-1.1267,-1.1254,-1.1254,-1.129108849,-1.131518444,-1.131613198,-1.131059096,-1.124281376,-1.132595583,-1.131502127,-1.131524682,-1.13190136,-1.126861907,-1.1273213019229031
